Description,NZSIOC,Original Output,Shocked Output,Output Loss,Value Added to Output Ratio,Original GDP Estimate,Shocked GDP Estimate,Loss,Direct Loss,Indirect Loss,Direct VoLL Loss,GDP Propagation Difference
"Internet service providers, web search portals and data processing services",JJ122,4892.111959183672,4875.814239333881,16.297719849791253,0.5414634146341464,2648.8996461921347,2640.075027151516,8.824619040618678,1.283853349710365,7.540765690908314,2.286541922035203,6.538077118583475
Library and other information services,JJ123,2513.9298984284083,2501.006063458519,12.923834969889242,0.7191601049868767,1807.9180896834223,1798.6237831696437,9.294306513778617,2.3492595524898454,6.945046961288771,3.256818919109738,6.037487594668878
Banking and financing; financial asset investing,,15664.81216255381,15630.922820293115,33.88934226069408,0.6189134281407693,9695.162596707398,9674.188027711394,20.974568996002024,14.416746468640392,6.55782252736163,21.57869714699427,-0.6041281509922456
Life insurance,KK121,5571.694868305497,5555.48326754732,16.21160075817766,0.2726321297749869,1519.0230384024928,1514.6032351607291,4.419803241763768,0.2916218623475216,4.1281813794162465,1.0652628743800667,3.3545403673837013
Health and general insurance,KK122,7348.261219685574,7331.426256895162,16.834962790413037,0.4395017793594306,3229.5738812497098,3222.1748851478733,7.3989961018363335,3.777801149900436,3.6211949519358977,6.664418569438337,0.7345775323979966
Superannuation and individual pension services,,9299.118051301617,9269.791781735723,29.32626956589394,0.05486284289276808,510.1760526898642,508.5671301700396,1.608922519824605,0.000984792805728234,1.6079377270188768,0.017950087049864213,1.590972432774741
Auxiliary finance and insurance services,KK131,8366.589872878916,8340.205286372186,26.384586506730116,0.5586115605236064,4673.673825149893,4658.935090107599,14.738735042294598,9.111032770851784,5.627702271442814,13.796661282613762,0.9420737596808362
Rental and hiring services (except real estate),LL111,7048.541912633918,7025.421814577749,23.120098056169958,0.5829338446788112,4108.833636511431,4095.356148862197,13.477487649234261,6.021398243992371,7.45608940524189,9.689307405457955,3.7881802437763064
Non-financial asset leasing,LL112,4916.526705428321,4896.939183187448,19.5875222408729,0.38392857142857145,1887.5950744055162,1880.0748649737527,7.520209431763703,0.48684077425421585,7.033368657509488,1.169822131445526,6.350387300318177
Residential property operation,LL121,15508.231026909727,15484.92151053149,23.309516378235983,0.7602657004830918,11790.376124927143,11772.65469912992,17.72142579722168,5.648089053529107,12.073336743692575,7.429017485733178,10.292408311488503
Non-residential property operation,LL122,15096.200144935774,15072.143918448388,24.056226487385608,0.5410018811398314,8167.072676473649,8154.058212690848,13.014463782801451,4.812748313378698,8.201715469422753,7.429017485733178,5.585446297068273
Real estate services,LL123,7149.572563982395,7125.954635887531,23.617928094863288,0.4446414499605989,3178.996311447649,3168.4948016544836,10.501509793165178,5.692367355739536,4.809142437425642,8.132885274175978,2.3686245189892006
Owner-occupied property operation,,32675.563340477307,32663.912410818062,11.65092965924643,0.7614840423829188,24881.92005964577,24873.04806263133,8.871997014442014,0.0,8.871997014442014,0.0,8.871997014442014
"Scientific, architectural, and engineering services",,13967.412897843402,13899.964085098236,67.44881274516585,0.5904098994586233,8246.498844712802,8206.676397961324,39.82244675147688,32.838935401521155,6.98351134995573,45.97069647890787,-6.148249727430986
Legal and accounting services,MN112,9239.155145046796,9202.335041084352,36.820103962443916,0.7258646014154093,6706.375666774521,6679.649256687747,26.72641008677329,20.245639716297074,6.480770370476212,26.785269479866134,-0.05885939309284538
"Advertising, market research, and management services",,10988.154574930606,10934.78033411236,53.37424081824674,0.5159813169704185,5669.682468647223,5642.142357577528,27.540111069695218,20.51465074799906,7.02546032169616,36.74001379757395,-9.199902727878733
Veterinary and other professional services,MN114,2856.320285741255,2841.5898772243004,14.730408516954743,0.7299088649544325,2084.8534977117197,2074.101641950794,10.751855760925542,5.285652807392045,5.466202953533498,7.138001699437254,3.613854061488288
Computer system design and related services,MN115,12344.376579642198,12307.06583072068,37.310748921517934,0.666937302661254,8232.925219061324,8208.041288815335,24.88393024598846,18.900335811439444,5.983594434549016,25.937202658789424,-1.0532724128009647
