Description,NZSIOC,Original Output,Shocked Output,Output Loss,Value Added to Output Ratio,Original GDP Estimate,Shocked GDP Estimate,Loss,Direct Loss,Indirect Loss
Telecommunications services,JJ121,9092.474999999999,9080.4042623214,12.070737678597606,0.5545743066096316,5042.45301849041,5035.758897512034,6.694120978375022,5.0409850905854885,1.6531358877895332
"Internet service providers, web search portals and data processing services",JJ122,1798.4149999999997,1796.6820918553337,1.7329081446660335,0.5414634146341464,973.7759268292683,972.8376204680101,0.9383063612581938,0.3706145426662796,0.5676918185919142
Library and other information services,JJ123,474.3900000000001,474.3215665957385,0.06843340426159812,0.7191601049868767,341.1623622047245,341.11314763053116,0.04921457419338028,0.027387114869966717,0.021827459323413564
Banking and financing; financial asset investing,,19152.554999999997,19126.738603981998,25.816396017998283,0.6189134281407693,11853.773472704628,11837.79535854289,15.978114161739025,4.8427822777124385,11.135331884026586
Life insurance,KK121,2388.2649999999994,2382.9844989833696,5.2805010166299855,0.2726321297749869,651.1177734170591,649.6781391786161,1.4396342384428167,1.41673584182258,0.022898396620236666
Health and general insurance,KK122,8466.23,8454.55122921698,11.678770783019312,0.4395017793594306,3720.9231494661913,3715.7903089263236,5.132840539867917,2.8406142477895298,2.292226292078388
Superannuation and individual pension services,,503.25499999999994,502.38469648202334,0.8703035179766078,0.05486284289276808,27.61,27.562252674824222,0.047747325175773986,0.047747325175773986,0.0
Auxiliary finance and insurance services,KK131,8534.0,8522.699601902787,11.300398097213519,0.5586115605236064,4767.191057508457,4760.878524492834,6.312533015622436,0.4377873815237917,5.874745634098645
Rental and hiring services (except real estate),LL111,6544.825,6539.395697505377,5.429302494622515,0.5829338446788112,3815.2,3812.0350758228856,3.1649241771145635,0.9746186009908125,2.190305576123751
Non-financial asset leasing,LL112,1681.6999999999994,1680.3637577052577,1.3362422947415324,0.38392857142857145,645.6526785714283,645.1396569761257,0.5130215953025526,0.0024314269850101303,0.5105901683175426
