Description,NZSIOC,Original Output,Shocked Output,Loss,Direct Loss,Indirect Loss
"Advertising, market research, and management services",,9157.285061763778,9137.221487951409,20.063573812369214,12.47699000155626,7.586583810812954
Veterinary and other professional services,MN114,2488.8549383048066,2483.5768779609166,5.278060343890047,1.819790144827948,3.458270199062099
Computer system design and related services,MN115,10089.41237863674,10068.428272053112,20.98410658362809,15.220744278315578,5.763362305312512
Travel agency and tour arrangement services,MN211,2952.891617698783,2946.9211027300416,5.970514968741554,1.2177212591947182,4.752793709546836
Employment and other administrative services,MN212,7598.682325089658,7582.1747098775095,16.507615212148266,7.37829749006778,9.129317722080486
"Building cleaning, pest control, and other support services",,5826.035938315717,5813.238088508231,12.797849807486273,4.902274856556232,7.89557495093004
Local government administration services,,4426.281653924045,4416.765776342319,9.515877581725363,3.4584105718688534,6.057467009856509
Central government administration services,,9082.643050952303,9062.599281818875,20.043769133428214,11.57634769354172,8.467421439886493
Defence,OO212,3241.4309087336133,3233.5445551738376,7.886353559775671,4.3707644496466855,3.5155891101289853
"Public order, safety, and regulatory services",,7741.2755998999655,7724.998828002362,16.276771897603794,10.764489102592961,5.512282795010833
Preschool education,PP111,3016.133659657665,3009.3607024256135,6.77295723205134,3.1098295504652924,3.6631276815860474
School education,PP112,8146.9040404141415,8128.543041004251,18.36099940989061,15.233809850016769,3.127189559873841
Tertiary education,PP113,7091.189611902046,7076.842455107587,14.347156794458897,9.64743327218548,4.699723522273416
"Adult, community, and other education",,4752.467619551142,4742.125173712666,10.342445838476124,2.235492154587064,8.10695368388906
Hospitals,QQ111,10864.045729259346,10840.168139216095,23.877590043250166,19.766757677867645,4.110832365382521
Medical and other health care services,QQ112,9919.601887961493,9897.564151926677,22.03773603481568,14.249186468546213,7.788549566269467
Residential care services and social assistance,QQ113,6960.964089980651,6945.712378214941,15.251711765709842,9.237483860934844,6.014227904774998
Heritage and artistic activities,RS111,3839.1921557544388,3831.2142617558443,7.977893998594482,1.822813492067894,6.155080506526588
Sport and recreation services,,5636.941133232668,5624.959087226208,11.982046006460223,3.110378571382853,8.87166743507737
Gambling activities,RS113,3938.010875088333,3929.5865749103905,8.424300177942314,2.5999283120606833,5.824371865881631
Repair and maintenance,RS211,6187.660047352376,6174.318856080199,13.34119127217673,5.591664603568461,7.749526668608269
Personal services; domestic household staff,,4669.012328127027,4659.084417482752,9.927910644275471,4.515239932863551,5.41267071141192
"Religious services; civil, professional, and other interest groups",,5912.533621590067,5899.805813333838,12.727808256228855,2.7215373011970314,10.006270955031823
